,event_id,datetime,location,latitude,longitude,depth,magnitude,significance,alert,url,eventtype,country
30,us6000mgpb,2024-03-04 17:45:25.797,"145 km NW of Copiapó, Chile",-26.5986,-71.5176,10.0,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgpb,earthquake,ARG
31,us6000mgt1,2024-03-05 03:12:51.172,"8 km N of San Pedro de Atacama, Chile",-22.8343,-68.2091,134.579,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgt1,earthquake,ARG
32,us7000m3k1,2024-03-05 20:30:12.072,"33 km SW of Tocopilla, Chile",-22.3351,-70.3886,33.483,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3k1,earthquake,ARG
33,us7000m3mb,2024-03-06 03:58:06.499,"99 km WSW of San Antonio de los Cobres, Argentina",-24.4298,-67.2705,193.322,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3mb,earthquake,ARG
34,us7000m40r,2024-03-07 22:25:44.025,"70 km W of Illapel, Chile",-31.7366,-71.907,35.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m40r,earthquake,ARG
35,us7000m42y,2024-03-08 07:40:46.074,"74 km N of La Serena, Chile",-29.2346,-71.2831,49.371,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m42y,earthquake,ARG
36,us7000m48k,2024-03-08 18:12:48.590,"14 km WNW of Rancagua, Chile",-34.1298,-70.8907,83.353,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m48k,earthquake,ARG
37,us7000m4de,2024-03-09 09:22:28.854,"131 km SW of San Pedro de Atacama, Chile",-23.8484,-68.9877,92.951,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4de,earthquake,ARG
38,us7000m4ft,2024-03-09 19:23:12.418,"128 km W of Valparaíso, Chile",-33.2365,-72.9866,13.662,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ft,earthquake,ARG
39,us7000m4fz,2024-03-09 19:58:53.199,"16 km E of Calama, Chile",-22.4356,-68.7624,127.451,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4fz,earthquake,ARG
40,us7000m4j8,2024-03-10 12:16:14.783,"68 km W of San Antonio de los Cobres, Argentina",-24.1677,-66.9866,177.41,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4j8,earthquake,ARG
41,us6000mj2w,2024-03-10 13:42:26.212,Falkland Islands region,-54.5354,-55.3106,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2w,earthquake,ARG
42,us7000m4kd,2024-03-10 18:04:38.173,"147 km NW of Coquimbo, Chile",-29.2196,-72.6101,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kd,earthquake,ARG
43,us7000m4kt,2024-03-10 20:12:41.372,"33 km WNW of Illapel, Chile",-31.5035,-71.4902,49.356,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kt,earthquake,ARG
44,us7000m4sw,2024-03-12 03:42:32.451,"89 km WSW of San Antonio, Chile",-33.8321,-72.5312,14.154,5.1,401,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4sw,earthquake,ARG
45,us6000miii,2024-03-13 04:12:16.293,"105 km SE of Diego de Almagro, Chile",-27.0488,-69.285,122.462,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miii,earthquake,ARG
46,us6000mj4t,2024-03-15 17:54:37.408,"109 km W of San Antonio de los Cobres, Argentina",-24.195,-67.3916,199.261,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj4t,earthquake,ARG
47,us6000mjpc,2024-03-19 00:01:07.076,"59 km E of Copiapó, Chile",-27.3705,-69.7296,117.767,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjpc,earthquake,ARG
48,us6000mjyq,2024-03-20 11:07:28.626,"57 km NNE of Illapel, Chile",-31.2012,-70.8429,99.927,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjyq,earthquake,ARG
49,us6000mk9i,2024-03-21 16:09:18.984,"71 km SW of Taltal, Chile",-25.792,-71.0574,10.889,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mk9i,earthquake,ARG
50,us6000mkc9,2024-03-21 21:16:59.732,"41 km WSW of Coquimbo, Chile",-30.0511,-71.7545,44.188,4.1,259,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkc9,earthquake,ARG
51,us6000mkha,2024-03-22 13:39:21.309,"88 km W of San Antonio, Chile",-33.7307,-72.5527,10.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkha,earthquake,ARG
52,us6000mkrg,2024-03-23 14:29:24.760,"93 km W of San Antonio de los Cobres, Argentina",-24.3446,-67.2319,194.531,4.8,354,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkrg,earthquake,ARG
53,us6000mks5,2024-03-23 17:23:17.827,"20 km SW of Tocopilla, Chile",-22.2293,-70.3239,31.743,3.9,234,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mks5,earthquake,ARG
54,us6000mksn,2024-03-23 19:36:12.475,"99 km W of San Antonio de los Cobres, Argentina",-24.2457,-67.2966,196.594,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mksn,earthquake,ARG
55,us6000mkv2,2024-03-23 23:11:53.360,"52 km SE of Vallenar, Chile",-28.9504,-70.4353,104.057,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkv2,earthquake,ARG
56,us7000m7x2,2024-03-25 16:14:19.602,"30 km SW of Taco Pozo, Argentina",-25.8167,-63.4752,567.911,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m7x2,earthquake,ARG
57,us7000m81k,2024-03-26 07:59:13.527,"140 km SW of San Rafael, Argentina",-35.3583,-69.5742,185.598,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m81k,earthquake,ARG
58,us7000m87t,2024-03-27 05:08:27.916,"75 km S of San Pedro de Atacama, Chile",-23.5856,-68.0963,133.215,4.9,370,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m87t,earthquake,ARG
59,us7000m88z,2024-03-27 10:38:16.381,"131 km NE of San Pedro de Atacama, Chile",-22.088,-67.2801,173.838,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m88z,earthquake,ARG
60,us7000m891,2024-03-27 10:54:50.288,"107 km E of Caucete, Argentina",-31.6929,-67.1467,128.732,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m891,earthquake,ARG
61,us7000m8va,2024-03-30 00:49:04.587,"65 km WNW of Abra Pampa, Argentina",-22.5551,-66.3117,253.441,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8va,earthquake,ARG
62,us7000m8vn,2024-03-30 03:54:10.877,"175 km NW of Antofagasta de la Sierra, Argentina",-24.8656,-68.5494,141.937,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8vn,earthquake,ARG
63,us7000m8wl,2024-03-30 09:03:18.687,"73 km WSW of Antofagasta, Chile",-23.869,-71.0726,10.0,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8wl,earthquake,ARG
64,us7000m93a,2024-03-31 17:17:52.021,"52 km SSW of Ovalle, Chile",-31.0444,-71.4045,62.09,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m93a,earthquake,ARG
65,us6000mjmh,2024-03-12 21:20:48.527,South Sandwich Islands region,-60.3287,-27.0453,55.339,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjmh,earthquake,ATA
66,us7000m936,2024-03-31 17:01:51.297,Balleny Islands region,-62.7214,156.0387,10.0,5.9,536,green,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m936,earthquake,ATA
67,us7000ma86,2024-03-31 17:04:30.729,Balleny Islands region,-62.5195,156.6351,10.0,4.9,369,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ma86,earthquake,ATA
68,us7000m3ww,2024-03-02 08:15:32.717,Mid-Indian Ridge,-16.1865,67.6767,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3ww,earthquake,ATF
69,us6000mghy,2024-03-03 18:08:32.755,Southwest Indian Ridge,-28.7289,61.6042,10.0,5.0,385,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mghy,earthquake,ATF
70,us6000mj2h,2024-03-10 00:09:40.139,Mid-Indian Ridge,-22.6034,69.4083,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2h,earthquake,ATF
71,us6000mjm9,2024-03-12 14:47:29.385,Mid-Indian Ridge,-33.7079,77.4768,10.0,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm9,earthquake,ATF
72,us6000mjm5,2024-03-12 16:11:19.598,Mid-Indian Ridge,-20.294,67.8853,10.0,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm5,earthquake,ATF
73,us7000m9mv,2024-03-27 03:37:24.243,"235 km ENE of Port Mathurin, Mauritius",-18.9215,65.5105,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m9mv,earthquake,ATF
74,us7000m3wq,2024-03-02 05:55:04.253,western Indian-Antarctic Ridge,-49.7271,125.7341,10.0,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3wq,earthquake,AUS
75,us7000m3x4,2024-03-02 16:40:54.285,"92 km S of Praya, Indonesia",-9.5417,116.2835,75.059,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3x4,earthquake,AUS
76,us6000mgcd,2024-03-02 18:00:54.148,"50 km NNW of Te Anau, New Zealand",-44.9922,167.5036,103.156,4.2,272,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mgcd,earthquake,AUS
77,us7000m3yr,2024-03-03 04:32:18.331,western Indian-Antarctic Ridge,-48.8536,123.745,10.0,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3yr,earthquake,AUS
78,us7000m3xw,2024-03-03 05:41:19.117,western Indian-Antarctic Ridge,-48.8676,123.6893,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3xw,earthquake,AUS
79,us7000m45q,2024-03-04 00:49:15.039,"53 km NE of Port-Olry, Vanuatu",-14.69,167.4081,113.102,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m45q,earthquake,AUS
80,us6000mifw,2024-03-06 01:20:09.837,"59 km WNW of Kirakira, Solomon Islands",-10.2874,161.4053,82.127,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mifw,earthquake,AUS
81,us6000mifz,2024-03-06 05:36:56.353,"25 km ENE of Port-Olry, Vanuatu",-14.9527,167.291,123.562,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mifz,earthquake,AUS
82,us7000m3re,2024-03-06 19:27:02.733,"30 km WSW of Lata, Solomon Islands",-10.8089,165.5313,46.294,5.0,385,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3re,earthquake,AUS
83,us6000mimv,2024-03-07 01:16:00.985,"40 km SSE of Kupang, Indonesia",-10.5004,123.7707,10.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mimv,earthquake,AUS
84,us6000minc,2024-03-07 19:57:46.333,"41 km WNW of Lata, Solomon Islands",-10.612,165.4343,35.0,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000minc,earthquake,AUS
85,us7000m406,2024-03-07 20:46:45.661,"216 km SSW of Tambolaka, Indonesia",-11.3415,118.8047,10.0,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m406,earthquake,AUS
86,us6000miuw,2024-03-08 05:26:36.918,"97 km NNW of Port-Olry, Vanuatu",-14.2629,166.6584,49.59,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miuw,earthquake,AUS
87,us7000m44b,2024-03-08 09:53:12.877,"14 km SSW of Woodford, Australia",-33.8587,150.4455,8.958,3.5,308,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m44b,earthquake,AUS
88,us6000mj1d,2024-03-09 18:26:33.071,"89 km WNW of Sola, Vanuatu",-13.4739,166.8327,117.593,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj1d,earthquake,AUS
89,us6000mj2j,2024-03-10 07:35:09.785,"112 km W of Lata, Solomon Islands",-10.7289,164.7656,85.704,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2j,earthquake,AUS
90,us7000m4ki,2024-03-10 17:38:03.337,"4 km SSE of Kefamenanu, Indonesia",-9.4845,124.4859,10.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4ki,earthquake,AUS
91,us7000m4kv,2024-03-10 20:33:55.388,west of Macquarie Island,-52.2729,139.9642,10.0,5.0,385,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4kv,earthquake,AUS
92,us6000mj2z,2024-03-10 21:05:16.514,"103 km SSE of Sola, Vanuatu",-14.691,168.0287,10.886,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj2z,earthquake,AUS
93,us6000mj34,2024-03-10 22:09:02.084,"12 km SSE of Kefamenanu, Indonesia",-9.5584,124.5089,14.461,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj34,earthquake,AUS
94,us6000mj3m,2024-03-11 02:58:10.424,"196 km SSE of Kirakira, Solomon Islands",-12.0481,162.7202,10.0,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj3m,earthquake,AUS
95,us6000mj3k,2024-03-11 03:29:02.505,"35 km E of Port-Olry, Vanuatu",-15.0675,167.3986,129.054,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj3k,earthquake,AUS
96,us6000mjm9,2024-03-12 14:47:29.385,Mid-Indian Ridge,-33.7079,77.4768,10.0,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm9,earthquake,AUS
97,us6000mjm4,2024-03-12 16:18:02.066,"113 km W of Sola, Vanuatu",-13.9215,166.5013,58.18,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjm4,earthquake,AUS
98,us6000mjsf,2024-03-13 02:03:38.296,"99 km SSE of Lata, Solomon Islands",-11.5386,166.1911,88.691,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjsf,earthquake,AUS
99,us6000mjt3,2024-03-13 18:23:04.619,"169 km S of Sumberpucung, Indonesia",-9.67,112.2551,21.188,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjt3,earthquake,AUS
100,us6000mipe,2024-03-13 20:06:34.414,western Indian-Antarctic Ridge,-49.6592,125.8833,10.0,5.5,465,green,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mipe,earthquake,AUS
101,us6000mjtb,2024-03-13 23:46:21.266,southeast Indian Ridge,-48.5615,105.3591,10.0,5.0,385,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjtb,earthquake,AUS
102,us6000miti,2024-03-14 12:20:39.032,"34 km NE of Port-Olry, Vanuatu",-14.86,167.3379,162.274,4.8,354,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000miti,earthquake,AUS
103,us6000mk1c,2024-03-15 04:48:22.759,"133 km NNW of Sola, Vanuatu",-12.832,166.9304,222.695,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mk1c,earthquake,AUS
104,us6000mk1l,2024-03-15 05:37:21.575,"39 km NNE of Naisano Dua, Indonesia",-9.2523,123.8451,78.73,4.2,271,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mk1l,earthquake,AUS
105,us6000mk22,2024-03-15 20:41:06.570,"89 km SE of Lata, Solomon Islands",-11.3057,166.3665,37.121,4.7,340,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mk22,earthquake,AUS
106,us6000mj8x,2024-03-16 08:33:55.669,"28 km WNW of Tambolaka, Indonesia",-9.3738,118.9814,81.634,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mj8x,earthquake,AUS
107,us6000mjex,2024-03-17 09:36:43.738,"35 km NNW of Tambolaka, Indonesia",-9.1387,119.0952,93.515,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjex,earthquake,AUS
108,us6000mkab,2024-03-17 09:41:37.675,western Indian-Antarctic Ridge,-49.6708,125.698,10.0,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkab,earthquake,AUS
109,us6000mjgi,2024-03-17 16:16:58.303,"126 km S of Kencong, Indonesia",-9.4043,113.1588,59.298,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjgi,earthquake,AUS
110,us6000mjrs,2024-03-19 14:10:14.216,"112 km NW of Sola, Vanuatu",-13.0926,166.8912,185.419,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mjrs,earthquake,AUS
111,us7000m7xk,2024-03-20 15:18:30.866,"95 km ENE of Wé, New Caledonia",-20.6589,168.1424,10.0,4.6,326,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m7xk,earthquake,AUS
112,us7000m83e,2024-03-21 02:00:01.178,"20 km N of Norsup, Vanuatu",-15.8768,167.3953,69.326,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m83e,earthquake,AUS
113,us7000m83f,2024-03-21 03:02:42.051,"50 km W of Kirakira, Solomon Islands",-10.4108,161.463,69.431,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m83f,earthquake,AUS
114,us6000mkgs,2024-03-22 10:36:33.327,"88 km NW of Arthurs Point, New Zealand",-44.3577,167.9717,5.622,4.8,359,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkgs,earthquake,AUS
115,us7000m89v,2024-03-22 22:38:39.207,South Indian Ocean,-10.2397,87.1807,10.0,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m89v,earthquake,AUS
116,us6000mknh,2024-03-23 04:18:42.784,"63 km E of Lakatoro, Vanuatu",-16.1308,168.0123,183.292,4.9,369,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mknh,earthquake,AUS
117,us6000mkvd,2024-03-24 00:30:54.143,"289 km SW of Gizo, Solomon Islands",-9.7782,154.8212,10.0,5.1,400,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkvd,earthquake,AUS
118,us6000mkvx,2024-03-24 03:04:09.187,"84 km SE of Ende, Indonesia",-9.4073,122.1853,74.346,5.7,500,green,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mkvx,earthquake,AUS
119,us7000m8la,2024-03-25 13:44:03.018,"57 km WNW of Kirakira, Solomon Islands",-10.3527,161.4028,81.831,4.3,284,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8la,earthquake,AUS
120,us7000m7y4,2024-03-25 17:24:27.537,"107 km WNW of Kirakira, Solomon Islands",-10.1278,160.9994,64.217,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m7y4,earthquake,AUS
121,us7000m818,2024-03-26 06:57:48.475,"95 km WNW of Kirakira, Solomon Islands",-10.146,161.1106,66.468,4.9,369,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m818,earthquake,AUS
122,us7000m9ds,2024-03-26 19:15:48.735,Mid-Indian Ridge,-40.1344,78.9086,10.0,4.4,298,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m9ds,earthquake,AUS
123,us7000m9n9,2024-03-27 18:16:52.908,"15 km WSW of Naisano Dua, Indonesia",-9.6337,123.6357,84.288,4.0,246,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m9n9,earthquake,AUS
124,us7000m9nb,2024-03-27 19:38:17.610,"29 km WNW of Port-Olry, Vanuatu",-14.9152,166.8323,44.204,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m9nb,earthquake,AUS
125,us7000m8hh,2024-03-28 08:01:54.265,"136 km S of Bambanglipuro, Indonesia",-9.1775,110.1831,52.626,4.9,369,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8hh,earthquake,AUS
126,us7000m8pz,2024-03-29 06:29:32.991,"103 km N of Port-Vila, Vanuatu",-16.8182,168.1238,10.0,5.0,385,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m8pz,earthquake,AUS
127,us7000ma89,2024-03-31 19:33:30.209,"195 km N of Sola, Vanuatu",-12.1146,167.4671,333.636,4.5,312,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ma89,earthquake,AUS
128,us7000m4tz,2024-03-12 08:57:52.678,"26 km NNE of Tura, India",25.7414,90.2866,10.0,4.4,300,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m4tz,earthquake,BGD
129,us6000mirj,2024-03-14 03:06:47.902,"23 km ENE of Bileća, Bosnia and Herzegovina",42.9571,18.6952,17.448,5.4,664,green,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mirj,earthquake,BIH
